Alt Kategori,Yıl,Ay,Endeks,Ay_Num,Tarih
Ölçüm bazında,2005,Mayıs,116.69,5,2005-05-01
(Sigorta),2005,Mayıs,122.0,5,2005-05-01
(Gıda),2005,Mayıs,111.63,5,2005-05-01
(Gıda Ve Alkolsüz İçecekler),2005,Mayıs,111.95,5,2005-05-01
(Sağlık),2005,Mayıs,114.27,5,2005-05-01
(Eğlence Ve Kültür),2005,Mayıs,115.51,5,2005-05-01
(Paket Turlar),2005,Mayıs,113.34,5,2005-05-01
(Kişisel Ulaştırma Araçlarının İşletimi),2005,Mayıs,130.96,5,2005-05-01
"(Gazete, Kitap Ve Kırtasiye)",2005,Mayıs,117.56,5,2005-05-01
(Araç Satın Alımı),2005,Mayıs,104.1,5,2005-05-01
(Giyim),2005,Mayıs,117.0,5,2005-05-01
(Konaklama Hizmetleri),2005,Mayıs,131.28,5,2005-05-01
(Telefon Ve Telefaks Ekipmanı),2005,Mayıs,92.61,5,2005-05-01
(Ev İçi Tekstil),2005,Mayıs,110.09,5,2005-05-01
(Telefon Ve Telefaks Hizmetleri),2005,Mayıs,106.2,5,2005-05-01
"(Görsel-İşitsel Sistemle (Audıo-Vısual), Fotoğrafla Ve Veri İşlemle İle İlgili Ekipman)",2005,Mayıs,97.32,5,2005-05-01
"(Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri)",2005,Mayıs,129.23,5,2005-05-01
(Ayakkabı),2005,Mayıs,120.16,5,2005-05-01
"(Mobilya, Ev Aletleri Ve Ev Bakım Hizmetleri)",2005,Mayıs,113.48,5,2005-05-01
"(Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)",2005,Mayıs,117.47,5,2005-05-01
(Ayakta Tedavi Hizmetleri),2005,Mayıs,128.43,5,2005-05-01
"(Tıbbi Ürünler, Aletler Ve Malzemeler)",2005,Mayıs,96.16,5,2005-05-01
"(Elektrik, Gaz Ve Diğer Yakıtlar)",2005,Mayıs,112.71,5,2005-05-01
(Gerçek Kira),2005,Mayıs,138.92,5,2005-05-01
